Publication,papersInCommunity,totalPapers,Type
Journal of biomedical informatics,2,2,['Journal']
Geographical Analysis,2,2,['Journal']
,1,1,['Journal']
Sn Computer Science,1,1,['Journal']
Image Vis. Comput.,1,1,['Journal']
ArXiv,3,3,['Journal']
J. Mach. Learn. Res.,3,3,['Journal']
American Medical Informatics Association Annual Symposium,1,1,['Conference']
Comput. J.,1,1,['Journal']
J. Organ. End User Comput.,1,1,['Journal']
International Journal of Intelligent Systems,1,1,['Journal']
International Journal of Data Science and Analytics,2,2,['Journal']
PLoS ONE,4,4,['Journal']
Annual Review of Political Science,1,1,['Journal']
International journal of neural systems,1,1,['Journal']
International Conference on Data Warehousing and Knowledge Discovery,1,1,['Conference']
Genome Biology,3,3,['Journal']
Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,1,1,['Journal']
Journal of Medical Systems,1,1,['Journal']
Journal of Applied Science and Technology Trends,1,1,['Journal']
Annual Meeting of the Association for Computational Linguistics,1,1,['Conference']
Mobile DNA,1,1,['Journal']
IEEE Signal Processing Magazine,2,2,['Journal']
European Conference on Computer Vision,5,5,['Conference']
IEEE Transactions on Knowledge and Data Engineering,4,4,['Journal']
Entropy,1,1,['Journal']
Nature Machine Intelligence,4,4,['Journal']
IEEE Transactions on Signal Processing,1,1,['Journal']
International Journal of Digital Earth,1,1,['Journal']
Nature Communications,1,1,['Journal']
Conference on Empirical Methods in Natural Language Processing,4,4,['Conference']
Italian National Conference on Sensors,3,3,['Conference']
IFIP Working Conference on Database Semantics,1,1,['Conference']
Electronic Markets,1,1,['Journal']
Proceedings of the National Academy of Sciences of the United States of America,4,4,['Journal']
Proceedings of the National Academy of Sciences,4,4,['Journal']
CHANCE,1,1,['Journal']
Computer Vision and Pattern Recognition,12,12,['Conference']
ArXiv,1,1,['Journal']
Mammalian Genome,1,1,['Journal']
Applied and Environmental Microbiology,1,1,['Journal']
Nucleic acids research,2,2,['Journal']
Journal of Cheminformatics,2,2,['Journal']
Communications of the ACM,3,3,['Journal']
Ethics and Information Technology,1,1,['Journal']
ACM Computing Surveys (CSUR),2,2,['Journal']
ACM Computing Surveys,2,2,['Journal']
British Machine Vision Conference,2,2,['Conference']
Radioengineering,1,1,['Journal']
Knowledge Discovery and Data Mining,1,1,['Conference']
Data Intelligence,1,1,['Journal']
International Conference on Computational Statistics,1,1,['Conference']
International Conference on Signal Processing Systems,1,1,['Conference']
Journal of molecular biology,1,1,['Journal']
Br. J. Educ. Technol.,1,1,['Journal']
International Summit on eHealth,1,1,['Conference']
Neural Information Processing Systems,6,6,['Conference']
International Conference on Data Technologies and Applications,1,1,['Conference']
Int. J. Bus. Inf. Syst.,1,1,['Journal']
Electronics,1,1,['Journal']
International Conference on Learning Representations,2,2,['Conference']
Network and Distributed System Security Symposium,1,1,['Conference']
ACM Asia Conference on Computer and Communications Security,1,1,['Conference']
ACM Transactions on Intelligent Systems and Technology (TIST),1,1,['Journal']
International Computer Science Conference,1,1,['Conference']
Chemical Reviews,1,1,['Journal']
Journal of Statistics and Data Science Education,3,3,['Journal']
IEEE Symposium on Security and Privacy,2,2,['Conference']
IEEE Transactions on Pattern Analysis and Machine Intelligence,3,3,['Journal']
European Conference on Software Architecture,1,1,['Conference']
Patterns,1,1,['Journal']
IEEE International Enterprise Distributed Object Computing Conference,1,1,['Conference']
International Conference on Information and Knowledge Management,1,1,['Conference']
Nature Methods,2,2,['Journal']
Journal of Big Data,2,2,['Journal']
Nature,2,2,['Journal']
Vision,1,1,['Conference']
International Journal of Production Research,2,2,['Journal']
International Conference on Intelligent User Interfaces,1,1,['Conference']
BMC Health Services Research,1,1,['Journal']
Extended Semantic Web Conference,1,1,['Conference']
Applied Nanoscience,1,1,['Journal']
International Conference on Intelligent Computing,1,1,['Conference']
"Acta crystallographica. Section B, Structural science",1,1,['Journal']
International Journal of Systematic and Evolutionary Microbiology,2,2,['Journal']
International journal of systematic and evolutionary microbiology,2,2,['Journal']
Journal of Librarianship and Information Science,1,1,['Journal']
IEEE Transactions on Artificial Intelligence,1,1,['Journal']
Journal of chemical information and modeling,1,1,['Journal']
The American Statistician,1,1,['Journal']
European Journal of Clinical Microbiology & Infectious Diseases,1,1,['Journal']
Decision Support Systems,1,1,['Conference']
"International Conference on Teaching, Assessment, and Learning for Engineering",1,1,['Conference']
Journal of Library Administration,1,1,['Journal']
International Conference on Machine Learning,1,1,['Conference']
Irish Journal of Medical Science,1,1,['Journal']
Computer-Aided Architectural Design Futures,1,1,['Conference']
International Conference on 3D Vision,1,1,['Conference']
TOP,1,1,['Journal']
Frontiers in Environmental Science,1,1,['Journal']
Journal of Medical Internet Research,1,1,['Journal']
International Conference on Extending Database Technology,1,1,['Conference']
IEEE International Conference on Data Engineering,3,3,['Conference']
"Shanlax International Journal of Arts, Science and Humanities",1,1,['Journal']
Software: Practice and Experience,1,1,['Journal']
International Conference on Database Systems for Advanced Applications,1,1,['Conference']
International Journal of Computer Vision,5,5,['Journal']
Scientific Data,2,2,['Journal']
IEEE International Conference on Computer Vision,4,4,['Conference']
Int. J. Inf. Decis. Sci.,1,1,['Journal']
IEEE/RJS International Conference on Intelligent RObots and Systems,1,1,['Conference']
international journal of engineering technology and management sciences,1,1,['Journal']
BMC Plant Biology,1,1,['Journal']
Journal of rehabilitation research and development,1,1,['Journal']
Conference on Innovative Data Systems Research,2,2,['Conference']
Int. J. Data Warehous. Min.,1,1,['Journal']
Genome Research,1,1,['Journal']
Cytogenetic and Genome Research,1,1,['Journal']
Information Systems & Economics eJournal,1,1,['Journal']
ACM Symposium on Applied Computing,1,1,['Conference']
Nature Reviews Drug Discovery,1,1,['Journal']
Metabolomics,1,1,['Journal']
Uncertainty Reasoning for the Semantic Web,1,1,['Conference']
Ind. Manag. Data Syst.,1,1,['Journal']
The International Journal of Advanced Manufacturing Technology,1,1,['Journal']
Journal of Biomolecular NMR,1,1,['Journal']
Big Data & Society,2,2,['Journal']
Philosophical Transactions of the Royal Society B: Biological Sciences,1,1,['Journal']
Journal of the American Medical Informatics Association : JAMIA,1,1,['Journal']
J. King Saud Univ. Comput. Inf. Sci.,1,1,['Journal']
Human Language Technology - The Baltic Perspectiv,1,1,['Conference']
IEEE Transactions on Software Engineering,1,1,['Journal']
Ingeniería e Investigación,1,1,['Journal']
European Symposium on Programming,1,1,['Conference']
Technical Symposium on Computer Science Education,1,1,['Conference']
Nature Reviews Materials,1,1,['Journal']
IEEE Engineering in Medicine and Biology Magazine,1,1,['Journal']
Nature Biotechnology,1,1,['Journal']
International Symposium on Intelligent Data Analysis,1,1,['Conference']
IEEE International Conference on Robotics and Automation,1,1,['Conference']
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,1,1,['Conference']
Nature Human Behaviour,1,1,['Journal']
Anesthesia & Analgesia,1,1,['Journal']
IOTA Programming System,1,1,['Conference']
Int. J. Semantic Web Inf. Syst.,1,1,['Journal']
BMC Medical Informatics and Decision Making,1,1,['Journal']
Cell systems,1,1,['Journal']
International Journal of Environmental Research and Public Health,1,1,['Journal']
Journal of the Learning Sciences,1,1,['Journal']
Nucleic Acids Research,2,2,['Journal']
BMC Bioinformatics,2,2,['Journal']
IEEE Region 10 Conference,1,1,['Conference']
Annual Conference of the IEEE Industrial Electronics Society,1,1,['Conference']
Nature Computational Science,1,1,['Journal']
Symposium on the Theory of Computing,1,1,['Conference']
The International Journal of Life Cycle Assessment,1,1,['Journal']
Language Resources and Evaluation,1,1,['Journal']
IEEE Transactions on Services Computing,1,1,['Journal']
Engineering,1,1,['Journal']
Technometrics,1,1,['Journal']
IEEE Transactions on Affective Computing,1,1,['Journal']
Plant Physiology,1,1,['Journal']
Journal of Geographical Systems,1,1,['Journal']
Nature Reviews Molecular Cell Biology,1,1,['Journal']
IEEE Transactions on Automation Science and Engineering,1,1,['Journal']
Journal of Biosciences,1,1,['Journal']
Software Quality Journal,1,1,['Journal']
IEEE Network,1,1,['Journal']
International Conference on Computational Logic,1,1,['Conference']
International Conference on Software Engineering,1,1,['Conference']
International Conference on Human Factors in Computing Systems,3,3,['Conference']
Pattern Recognit.,1,1,['Journal']
Chemical Science,1,1,['Journal']
BMC Genomics,1,1,['Journal']
Analytical chemistry,1,1,['Journal']
Security and Artificial Intelligence,1,1,['Conference']
"IEEE International Conference on Electrical, Computer and Communication Technologies",1,1,['Conference']
IEEE Access,1,1,['Journal']
Reviews of Modern Physics,1,1,['Journal']
Journal of Organizational Computing and Electronic Commerce,1,1,['Journal']
Applied Stochastic Models in Business and Industry,1,1,['Journal']
J. Comput.,1,1,['Journal']
International Conference on Computational Collective Intelligence,1,1,['Conference']
Science,1,1,['Journal']
Small Business Economics,1,1,['Journal']
World Summit on the Knowledge Society,1,1,['Conference']
EuroMed Journal of Business,1,1,['Journal']
International Database Engineering and Applications Symposium,1,1,['Conference']
Journal of Epidemiology and Community Health,1,1,['Journal']
Asian Conference on Computer Vision,1,1,['Conference']
BMC Medicine,1,1,['Journal']
J. Soc. Comput.,1,1,['Journal']
International Conference on Enterprise Information Systems,1,1,['Conference']
