ID,name,domain,keyword_abstract
1a367b64-5106-455e-90ee-322645c8f093,Engineering,Engineering,[]
4b4a281e-c105-448b-b7d1-3f8557677cd4,Medicine,Engineering,[]
03d597ce-e8af-454c-bcf2-48848bcddc68,Physics,Physics,"['findings', 'random', 'projection', 'set', 'T', 'n', 'm', 'dimensional', 'subspace', 'geometry', 'âª†', 'T']"
16ca313b-1271-4637-8a36-353e001a5d38,Computer Science,Computer Science,"['conversational', 'interface', 'natural', 'language', 'processing', 'machine', 'learning', 'algorithms', 'world', 'storm', 'buzzword', 'many', 'sectors', 'today', 'likely', 'impact', 'model', 'data', 'science', 'perspective', 'article', 'overview', 'potential', 'opportunities', 'challenges', 'ChatGPT', 'data', 'science', 'readers', 'snapshot', 'advantages', 'interest', 'use', 'data', 'science', 'projects', 'paper', 'data', 'scientists', 'various', 'aspects', 'workflow', 'data', 'cleaning', 'preprocessing', 'model', 'training', 'interpretation', 'potential', 'new', 'insights', 'decision', 'processes', 'unstructured', 'data', 'advantages', 'architecture', 'ability', 'wide', 'range', 'language', 'tasks', 'synthetic', 'data', 'Limitations', 'issues', 'concerns', 'bias', 'plagiarism', 'ChatGPT', 'paper', 'benefits', 'costs', 'potential', 'productivity', 'accuracy', 'data', 'science', 'workflows', 'likely', 'important', 'tool', 'intelligence', 'augmentation', 'field', 'data', 'science', 'wide', 'range', 'natural', 'language', 'processing', 'tasks', 'data', 'science', 'language', 'translation', 'sentiment', 'analysis', 'text', 'classification', 'time', 'resources', 'model', 'scratch', 'specific', 'use', 'cases', 'certain', 'tasks', 'output', 'difficult', 'challenges', 'decision', 'making', 'data', 'science', 'applications']"
f21ce346-65b9-4cd9-9ef2-8ec14a7b79d6,Sociology,Sociology,"['website', 'more', 'dozen', 'bloggers', 'community', 'issue', 'posts', 'excerpts', 'twitter', 'multiple', 'definitions', 'data', 'science']"
fb811407-958d-4fd2-9cb6-a044d4463a03,Biology,Biology,[]
f0009a6a-9daa-4c3a-a6ad-48a7ed003223,Mathematics,Computer Science,"['Smarter', 'applications', 'better', 'use', 'insights', 'data', 'impact', 'industry', 'research', 'discipline', 'core', 'revolution', 'tools', 'methods', 'massive', 'piles', 'data', 'day', 'useful', 'action', 'Deep', 'neural', 'networks', 'advancements', 'classical', 'machine', 'learning', 'scalable', 'general', 'purpose', 'graphics', 'processing', 'unit', 'computing', 'critical', 'components', 'artificial', 'intelligence', 'many', 'astounding', 'breakthroughs', 'barrier', 'adoption', 'preferred', 'language', 'scientific', 'computing', 'data', 'science', 'machine', 'learning', 'performance', 'productivity', 'use', 'low', 'level', 'libraries', 'clean', 'high', 'level', 'APIs', 'survey', 'insight', 'field', 'machine', 'tour', 'important', 'topics', 'core', 'hardware', 'software', 'paradigms', 'libraries', 'concepts', 'holistic', 'comparison', 'goal', 'reader', 'field', 'machine']"
e715670b-54fc-4972-ae5b-c2f0c458dba5,Materials Science,Materials Science,"['metal', 'nodes', 'organic', 'linkers', 'millions', 'possible', 'metal', 'organic', 'frameworks', 'MOFs', 'fact', 'many', 'materials', 'many', 'exciting', 'avenues', 'new', 'challenges', 'many', 'materials', 'conventional', 'brute', 'force', 'methods', 'review', 'many', 'materials', 'big', 'data', 'methods', 'powerful', 'technique', 'materials', 'complex', 'correlations', 'first', 'part', 'review', 'introduction', 'principles', 'big', 'data', 'science', 'appropriate', 'training', 'sets', 'survey', 'approaches', 'materials', 'feature', 'space', 'different', 'learning', 'architectures', 'evaluation', 'interpretation', 'strategies', 'second', 'part', 'different', 'approaches', 'machine', 'learning', 'porous', 'materials', 'particular', 'applications', 'field', 'gas', 'storage', 'separation', 'stability', 'materials', 'electronic', 'properties', 'synthesis', 'interest', 'scientific', 'community', 'machine', 'learning', 'list', 'years']"
243f7812-bc38-40ce-85de-b739bc415397,Chemistry,Materials Science,"['metal', 'nodes', 'organic', 'linkers', 'millions', 'possible', 'metal', 'organic', 'frameworks', 'MOFs', 'fact', 'many', 'materials', 'many', 'exciting', 'avenues', 'new', 'challenges', 'many', 'materials', 'conventional', 'brute', 'force', 'methods', 'review', 'many', 'materials', 'big', 'data', 'methods', 'powerful', 'technique', 'materials', 'complex', 'correlations', 'first', 'part', 'review', 'introduction', 'principles', 'big', 'data', 'science', 'appropriate', 'training', 'sets', 'survey', 'approaches', 'materials', 'feature', 'space', 'different', 'learning', 'architectures', 'evaluation', 'interpretation', 'strategies', 'second', 'part', 'different', 'approaches', 'machine', 'learning', 'porous', 'materials', 'particular', 'applications', 'field', 'gas', 'storage', 'separation', 'stability', 'materials', 'electronic', 'properties', 'synthesis', 'interest', 'scientific', 'community', 'machine', 'learning', 'list', 'years']"
9af1fa1c-192c-42e2-b965-a87103b0aa02,Psychology,Computer Science,"['rapid', 'advancement', 'artificial', 'intelligence', 'lives', 'many', 'ways', 'application', 'domain', 'data', 'science', 'New', 'techniques', 'creation', 'work', 'practices', 'data', 'scientists', 'systems', 'capable', 'pre', '-', 'processing', 'data', 'new', 'features', 'scoring', 'models', 'target', 'objectives', 'accuracy', 'time', 'efficiency', 'interested', 'practice', 'data', 'science', 'interviews', 'data', 'scientists', 'large', 'multinational', 'technology', 'company', 'data', 'science', 'various', 'business', 'settings', 'goal', 'current', 'work', 'practices', 'practices', 'Reactions', 'mixed', 'informants', 'concerns', 'trend', 'jobs', 'inevitable', 'concerns', 'optimistic', 'future', 'job', 'security', 'view', 'future', 'data', 'science', 'work', 'collaboration', 'humans', 'systems', 'automation', 'human', 'expertise', 'indispensable']"
23f7935f-8bc2-4472-b930-29b20b0bc16e,Economics,Computer Science,[]
2b031163-14bf-49e6-9d30-22698b8b57ac,History,History,"['efforts', 'health', 'systems', 'pathogen', 'epidemics', 'major', 'public', 'health', 'concern', 'Effective', 'response', 'such', 'outbreaks', 'timely', 'intervention', 'available', 'sources', 'data', 'collection', 'visualization', 'analysis', 'outbreak', 'data', 'complex', 'diversity', 'types', 'data', 'questions', 'available', 'methods', 'Recent', 'advances', 'rise', 'outbreak', 'analytics', 'data', 'science', 'technological', 'methodological', 'aspects', 'outbreak', 'data', 'pipeline', 'collection', 'analysis', 'modelling', 'response', 'article', 'current', 'state', 'field', 'context', 'outbreak', 'response', 'common', 'analytics', 'components', 'inter', '-', 'dependencies', 'data', 'requirements', 'type', 'information', 'operations', 'real', 'time', 'challenges', 'opportunities', 'potential', 'role', 'outbreak', 'analytics', 'understanding', 'response', 'outbreaks', 'pathogens', 'article', 'part', 'theme', 'issue', 'infectious', 'disease', 'outbreaks', 'humans', 'animals', 'plants', 'epidemic', 'forecasting', 'control', 'theme', 'issue', 'earlier', 'issue', 'infectious', 'disease', 'outbreaks', 'humans', 'animals', 'plants', 'approaches', 'important', 'themes']"
8b6ee748-3ae1-4a1e-ae7b-621647f28a64,Business,Business,[]
9b13dc36-0b55-4ffb-971f-deb8102dc8f0,Geography,Geography,"['Non', '-', 'technical', 'summary', 'action', 'climate', 'change', 'greenhouse', 'gas', 'emissions', 'case', 'studies', 'cities', 'valuable', 'insights', 'comparability', 'scalability', 'timely', 'state', 'art', 'data', 'infrastructures', 'earth', 'observations', 'social', 'media', 'data', 'climate', 'change', 'science', 'cities', 'urban', 'areas', 'routes', 'knowledge', 'global', 'urban', 'areas', 'data', 'collections', 'use', 'big', 'data', 'further', 'advantage', 'computational', 'methods', 'qualitative', 'data', 'new', 'insights', 'data', 'approaches', 'potential', 'urban', 'climate', 'solutions', 'effect', 'change', 'global', 'scale', 'Technical', 'summary', 'Cities', 'integral', 'role', 'climate', 'change', 'common', 'understanding', 'solutions', 'adequate', 'representative', 'data', 'urban', 'areas', 'data', 'greenhouse', 'gas', 'emissions', 'climate', 'threats', 'socio', 'economic', 'contexts', 'current', 'state', 'urban', 'data', 'science', 'context', 'climate', 'change', 'contribution', 'urban', 'metabolism', 'studies', 'remote', 'sensing', 'big', 'data', 'approaches', 'urban', 'economics', 'urban', 'climate', 'weather', 'studies', 'routes', 'urban', 'data', 'science', 'global', 'climate', 'solutions', 'Mainstreaming', 'data', 'collection', 'cities', 'big', 'data', 'machine', 'solutions', 'privacy', 'computational', 'techniques', 'data', 'science', 'methods', 'qualitative', 'information', 'systematization', 'understanding', 'first', 'order', 'climate', 'effects', 'solutions', 'Collaborative', 'efforts', 'joint', 'data', 'platform', 'integrated', 'urban', 'services', 'quantitative', 'foundations', 'global', 'urban', 'sustainability', 'science']"
e694794b-f4ed-498e-b36c-f3478fb6963f,Political Science,Political Science,"['Abstract', 'last', 'decades', 'data', 'ubiquitous', 'cheap', 'transition', 'last', 'years', 'training', 'statistics', 'machine', 'learning', 'data', 'analysis', 'program', 'courses', 'more', 'enrollments', 'past', 'years', 'program', 'standard', 'data', 'science', 'novel', 'pedagogical', 'administrative', 'decisions', 'program', 'standard', 'online', 'data', 'science', 'programs', 'impact', 'data', 'science', 'education', 'thoughts', 'future', 'data', 'science', 'education', 'data', 'world']"
05bcac79-8b56-45fc-90e6-3b3b574cadd5,Environmental Science,Medicine,"['paper', 'technical', 'development', 'accuracy', 'assessment', 'recent', 'improved', 'version', 'system', 'm', 'resolution', 'update', 'global', 'predictions', 'standard', 'numeric', 'soil', 'properties', 'organic', 'carbon', 'bulk', 'density', 'soil', 'texture', 'fractions', 'coarse', 'fragments', 'standard', 'depths', 'cm', 'addition', 'predictions', 'depth', 'bedrock', 'distribution', 'soil', 'classes', 'classification', 'systems', 'raster', 'layers', 'total', 'Predictions', 'soil', 'profiles', 'training', 'stack', 'remote', 'sensing', 'soil', 'covariates', 'land', 'products', 'derivatives', 'climatic', 'images', 'global', 'landform', 'maps', 'ensemble', 'machine', 'learning', 'methods', 'random', 'forest', 'gradient', 'multinomial', 'logistic', 'regression', 'R', 'packages', 'ranger', 'nnet', 'results', 'cross', '-', 'validation', 'show', 'ensemble', 'models', '%', 'coarse', 'fragments', '%', 'variation', 'overall', 'average', '%', 'Improvements', 'relative', 'accuracy', 'amount', 'variation', 'comparison', 'previous', 'version', 'km', 'spatial', 'resolution', '%', 'Improvements', 'use', 'machine', 'linear', 'regression', 'considerable', 'investments', 'finer', 'resolution', 'covariate', 'layers', 'insertion', 'additional', 'soil', 'profiles', 'Further', 'development', 'refinement', 'methods', 'input', 'uncertainties', 'derivation', 'posterior', 'probability', 'distributions', 'pixel', 'further', 'automation', 'spatial', 'modeling', 'soil', 'maps', 'hundreds', 'soil', 'variables', 'area', 'future', 'research', 'development', 'methods', 'multiscale', 'merging', 'predictions', 'local', 'national', 'soil', 'products', 'm', 'spatial', 'resolution', 'accurate', 'complete', 'consistent', 'global', 'soil', 'information', 'available']"
00e87743-7bdd-417b-bcbf-5e3fb86cb674,Geology,Geology,"['improved', 'bar', 'flail', 'shearing', 'edges', 'materials', 'improved', 'shredder', 'cylinder', 'plurality', 'flails', 'periphery', 'rotatable', 'shaft', 'improved', 'shredder', 'apparatus', 'pair', 'shredder', 'cylinders', 'parallel', 'axes', 'conveyer', 'apparatus', 'pair', 'inclined', 'converging', 'conveyer', 'belts', 'belts', 'respect', 'other', 'belt', 'transport', 'articles', 'various', 'sizes']"
